0.0.0.0,0.255.255.255,ZZ,ZZ,,,,,0,0,0,,,,"Current network",,,"RFC 6890"
1.0.85.128,1.0.85.191,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.85.192,1.0.85.255,AS,JP,Shimane,"Yasugi Shi",Yasugi,,35.3361,133.184,11612572,9,Asia/Tokyo,JAXX1791,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.86.0,1.0.87.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.88.0,1.0.88.255,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.89.0,1.0.90.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.91.0,1.0.91.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.92.0,1.0.92.127,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.92.128,1.0.92.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.93.0,1.0.95.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.96.0,1.0.98.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.99.0,1.0.99.255,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.100.0,1.0.100.255,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.101.0,1.0.101.63,AS,JP,Hiroshima,Hiroshima,Higashi-ku,,34.4015,132.477,7374293,9,Asia/Tokyo,JAXX5287,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.101.64,1.0.101.191,AS,JP,Shimane,"Izumo Shi",Izumo,,35.3667,132.767,1861084,9,Asia/Tokyo,JAXX0201,"Energia Communications, Inc.",18144,,MEGAEGG
1.0.101.192,1.0.101.255,AS,JP,Shimane,"Matsue Shi",Matsue,,35.4833,133.05,1857550,9,Asia/Tokyo,JAXX0272,"Energia Communications, Inc.",18144,,MEGAEGG
